opcode         name              target                                    args                      kwargs
call_module    conv7_4           conv7.4                                   (conv7_3,)                {}
call_module    conv7_5           conv7.5                                   (conv7_4,)                {}
call_module    conv8_0           conv8.0                                   (conv7_5,)                {}
call_module    conv8_1           conv8.1                                   (conv8_0,)                {}
call_module    conv8_2           conv8.2                                   (conv8_1,)                {}
call_module    conv8_3           conv8.3                                   (conv8_2,)                {}
call_module    conv8_4           conv8.4                                   (conv8_3,)                {}
call_module    conv8_5           conv8.5                                   (conv8_4,)                {}
call_module    conv9_0           conv9.0                                   (conv8_5,)                {}
call_module    conv9_1           conv9.1                                   (conv9_0,)                {}
call_module    conv9_2           conv9.2                                   (conv9_1,)                {}
call_module    conv9_3           conv9.3                                   (conv9_2,)                {}
call_module    conv9_4           conv9.4                                   (conv9_3,)                {}
call_module    conv9_5           conv9.5                                   (conv9_4,)                {}
call_module    conv10_0          conv10.0                                  (conv9_5,)                {}
call_module    conv10_1          conv10.1                                  (conv10_0,)               {}
call_module    conv10_2          conv10.2                                  (conv10_1,)               {}
call_module    conv10_3          conv10.3                                  (conv10_2,)               {}
call_module    conv10_4          conv10.4                                  (conv10_3,)               {}
call_module    conv10_5          conv10.5                                  (conv10_4,)               {}
call_module    conv11_0          conv11.0                                  (conv10_5,)               {}
call_module    conv11_1          conv11.1                                  (conv11_0,)               {}
call_module    conv11_2          conv11.2                                  (conv11_1,)               {}
call_module    conv11_3          conv11.3                                  (conv11_2,)               {}
call_module    conv11_4          conv11.4                                  (conv11_3,)               {}
call_module    conv11_5          conv11.5                                  (conv11_4,)               {}
call_module    conv12_0          conv12.0                                  (conv11_5,)               {}
call_module    conv12_1          conv12.1                                  (conv12_0,)               {}
call_module    conv12_2          conv12.2                                  (conv12_1,)               {}
call_module    conv12_3          conv12.3                                  (conv12_2,)               {}
call_module    conv12_4          conv12.4                                  (conv12_3,)               {}
call_module    conv12_5          conv12.5                                  (conv12_4,)               {}
call_module    conv13_0          conv13.0                                  (conv12_5,)               {}
call_module    conv13_1          conv13.1                                  (conv13_0,)               {}
call_module    conv13_2          conv13.2                                  (conv13_1,)               {}
call_module    conv13_3          conv13.3                                  (conv13_2,)               {}
call_module    conv13_4          conv13.4                                  (conv13_3,)               {}
call_module    conv13_5          conv13.5                                  (conv13_4,)               {}
call_module    decode_conv1_0_0  decode_conv1.0.0                          (conv13_5,)               {}
call_module    decode_conv1_0_1  decode_conv1.0.1                          (decode_conv1_0_0,)       {}
call_module    decode_conv1_0_2  decode_conv1.0.2                          (decode_conv1_0_1,)       {}
call_module    decode_conv1_1_0  decode_conv1.1.0                          (decode_conv1_0_2,)       {}
call_module    decode_conv1_1_1  decode_conv1.1.1                          (decode_conv1_1_0,)       {}
call_module    decode_conv1_1_2  decode_conv1.1.2                          (decode_conv1_1_1,)       {}
call_function  interpolate       <function interpolate at 0x7f3cca1db9a0>  (decode_conv1_1_2,)       {'size': None, 'scale_factor': 2, 'mode': 'nearest', 'align_corners': None, 'recompute_scale_factor': None, 'antialias': False}
call_module    decode_conv2_0_0  decode_conv2.0.0                          (interpolate,)            {}
call_module    decode_conv2_0_1  decode_conv2.0.1                          (decode_conv2_0_0,)       {}
call_module    decode_conv2_0_2  decode_conv2.0.2                          (decode_conv2_0_1,)       {}
call_module    decode_conv2_1_0  decode_conv2.1.0                          (decode_conv2_0_2,)       {}
call_module    decode_conv2_1_1  decode_conv2.1.1                          (decode_conv2_1_0,)       {}
call_module    decode_conv2_1_2  decode_conv2.1.2                          (decode_conv2_1_1,)       {}
call_function  interpolate_1     <function interpolate at 0x7f3cca1db9a0>  (decode_conv2_1_2,)       {'size': None, 'scale_factor': 2, 'mode': 'nearest', 'align_corners': None, 'recompute_scale_factor': None, 'antialias': False}
call_function  add               <built-in function add>                   (interpolate_1, conv5_5)  {}
call_module    decode_conv3_0_0  decode_conv3.0.0                          (add,)                    {}
call_module    decode_conv3_0_1  decode_conv3.0.1                          (decode_conv3_0_0,)       {}
call_module    decode_conv3_0_2  decode_conv3.0.2                          (decode_conv3_0_1,)       {}
call_module    decode_conv3_1_0  decode_conv3.1.0                          (decode_conv3_0_2,)       {}
call_module    decode_conv3_1_1  decode_conv3.1.1                          (decode_conv3_1_0,)       {}
call_module    decode_conv3_1_2  decode_conv3.1.2                          (decode_conv3_1_1,)       {}
call_function  interpolate_2     <function interpolate at 0x7f3cca1db9a0>  (decode_conv3_1_2,)       {'size': None, 'scale_factor': 2, 'mode': 'nearest', 'align_corners': None, 'recompute_scale_factor': None, 'antialias': False}
call_function  add_1             <built-in function add>                   (interpolate_2, conv3_5)  {}
call_module    decode_conv4_0_0  decode_conv4.0.0                          (add_1,)                  {}
call_module    decode_conv4_0_1  decode_conv4.0.1                          (decode_conv4_0_0,)       {}
call_module    decode_conv4_0_2  decode_conv4.0.2                          (decode_conv4_0_1,)       {}
call_module    decode_conv4_1_0  decode_conv4.1.0                          (decode_conv4_0_2,)       {}
call_module    decode_conv4_1_1  decode_conv4.1.1                          (decode_conv4_1_0,)       {}
call_module    decode_conv4_1_2  decode_conv4.1.2                          (decode_conv4_1_1,)       {}
call_function  interpolate_3     <function interpolate at 0x7f3cca1db9a0>  (decode_conv4_1_2,)       {'size': None, 'scale_factor': 2, 'mode': 'nearest', 'align_corners': None, 'recompute_scale_factor': None, 'antialias': False}
call_function  add_2             <built-in function add>                   (interpolate_3, conv1_5)  {}
call_module    decode_conv5_0_0  decode_conv5.0.0                          (add_2,)                  {}
call_module    decode_conv5_0_1  decode_conv5.0.1                          (decode_conv5_0_0,)       {}
call_module    decode_conv5_0_2  decode_conv5.0.2                          (decode_conv5_0_1,)       {}
call_module    decode_conv5_1_0  decode_conv5.1.0                          (decode_conv5_0_2,)       {}
call_module    decode_conv5_1_1  decode_conv5.1.1                          (decode_conv5_1_0,)       {}
call_module    decode_conv5_1_2  decode_conv5.1.2                          (decode_conv5_1_1,)       {}
call_function  interpolate_4     <function interpolate at 0x7f3cca1db9a0>  (decode_conv5_1_2,)       {'size': None, 'scale_factor': 2, 'mode': 'nearest', 'align_corners': None, 'recompute_scale_factor': None, 'antialias': False}
call_module    decode_conv6_0    decode_conv6.0                            (interpolate_4,)          {}
call_module    decode_conv6_1    decode_conv6.1                            (decode_conv6_0,)         {}
call_module    decode_conv6_2    decode_conv6.2                            (decode_conv6_1,)         {}
output         output            output                                    (decode_conv6_2,)         {}
